fecha,dato
01/01/2008,65.350564
01/02/2008,65.544834
01/03/2008,66.019891
01/04/2008,66.170127
01/05/2008,66.098635
01/06/2008,66.372168
01/07/2008,66.742059
01/08/2008,67.127492
01/09/2008,67.584935
01/10/2008,68.045486
01/11/2008,68.818942
01/12/2008,69.295552
01/01/2009,69.456149
01/02/2009,69.609494
01/03/2009,70.00995
01/04/2009,70.25499
01/05/2009,70.050358
01/06/2009,70.179354
01/07/2009,70.370516
01/08/2009,70.538884
01/09/2009,70.892716
01/10/2009,71.107191
01/11/2009,71.476046
01/12/2009,71.771855
01/01/2010,72.552046
01/02/2010,72.971671
01/03/2010,73.489725
01/04/2010,73.255565
01/05/2010,72.793978
01/06/2010,72.771183
01/07/2010,72.92919
01/08/2010,73.13175
01/09/2010,73.51511
01/10/2010,73.968926
01/11/2010,74.561581
01/12/2010,74.930954
01/01/2011,75.295991
01/02/2011,75.57846
01/03/2011,75.723451
01/04/2011,75.717441
01/05/2011,75.159264
01/06/2011,75.155508
01/07/2011,75.516107
01/08/2011,75.635555
01/09/2011,75.821113
01/10/2011,76.332712
01/11/2011,77.158333
01/12/2011,77.792385
01/01/2012,78.343049
01/02/2012,78.502314
01/03/2012,78.547389
01/04/2012,78.30098
01/05/2012,78.053819
01/06/2012,78.413667
01/07/2012,78.853897
01/08/2012,79.09054
01/09/2012,79.439119
01/10/2012,79.841036
01/11/2012,80.383437
01/12/2012,80.568243
01/01/2013,80.892782
01/02/2013,81.290943
01/03/2013,81.887433
01/04/2013,81.941523
01/05/2013,81.66882
01/06/2013,81.619238
01/07/2013,81.592193
01/08/2013,81.824328
01/09/2013,82.13234
01/10/2013,82.522988
01/11/2013,83.292265
01/12/2013,83.770058
01/01/2014,84.519052
01/02/2014,84.733157
01/03/2014,84.965292
01/04/2014,84.806779
01/05/2014,84.535579
01/06/2014,84.682072
01/07/2014,84.914959
01/08/2014,85.219965
01/09/2014,85.59634
01/10/2014,86.069626
01/11/2014,86.763778
01/12/2014,87.188984
01/01/2015,87.110103
01/02/2015,87.275377
01/03/2015,87.630717
01/04/2015,87.40384
01/05/2015,86.967366
01/06/2015,87.113108
01/07/2015,87.24082
01/08/2015,87.424875
01/09/2015,87.752419
01/10/2015,88.203919
01/11/2015,88.685468
01/12/2015,89.046818
01/01/2016,89.386381
01/02/2016,89.777781
01/03/2016,89.910001
01/04/2016,89.625278
01/05/2016,89.225615
01/06/2016,89.324028
01/07/2016,89.556914
01/08/2016,89.809333
01/09/2016,90.357744
01/10/2016,90.906154
01/11/2016,91.616834
01/12/2016,92.039035
01/01/2017,93.603882
01/02/2017,94.14478
01/03/2017,94.722489
01/04/2017,94.838933
01/05/2017,94.725494
01/06/2017,94.96364
01/07/2017,95.322736
01/08/2017,95.793768
01/09/2017,96.093515
01/10/2017,96.698269
01/11/2017,97.695174
01/12/2017,98.272883
01/01/2018,98.7949997
01/02/2018,99.17137448
01/03/2018,99.49215698
01/04/2018,99.15484705
01/05/2018,98.99408017
01/06/2018,99.37646493
01/07/2018,99.9090991
01/08/2018,100.492
01/09/2018,100.917
01/10/2018,101.44
01/11/2018,102.303
01/12/2018,103.02
01/01/2019,103.108
01/02/2019,103.079
01/03/2019,103.476
01/04/2019,103.531
01/05/2019,103.233
01/06/2019,103.299
01/07/2019,103.687
01/08/2019,103.67
01/09/2019,103.942
01/10/2019,104.503
01/11/2019,105.346
01/12/2019,105.934
01/01/2020,106.447
01/02/2020,106.889
01/03/2020,106.838
01/04/2020,105.755
01/05/2020,106.162
01/06/2020,106.743
01/07/2020,107.444
01/08/2020,107.867
01/09/2020,108.114
01/10/2020,108.774
01/11/2020,108.856
01/12/2020,109.271
01/01/2021,110.21
01/02/2021,110.907
01/03/2021,111.824
01/04/2021,112.19
01/05/2021,112.419
01/06/2021,113.018
01/07/2021,113.682
01/08/2021,113.899
01/09/2021,114.601
01/10/2021,115.561
01/11/2021,116.884
01/12/2021,117.308
01/01/2022,118.002
01/02/2022,118.981
01/03/2022,120.159
01/04/2022,120.809
01/05/2022,121.022
01/06/2022,122.044
01/07/2022,122.948
01/08/2022,123.803
01/09/2022,124.571
01/10/2022,125.276
01/11/2022,125.997
01/12/2022,126.478
01/01/2023,127.336
01/02/2023,128.046
01/03/2023,128.389
01/04/2023,128.363
01/05/2023,128.084
01/06/2023,128.214
01/07/2023,128.832
01/08/2023,129.545
01/09/2023,130.12
01/10/2023,130.609
01/11/2023,131.445
01/12/2023,132.373
01/01/2024,133.555
01/02/2024,133.681
01/03/2024,134.065
01/04/2024,134.336
01/05/2024,134.087
01/06/2024,134.594
01/07/2024,136.003
01/08/2024,136.013
01/09/2024,136.08
01/10/2024,136.828
01/11/2024,137.424
01/12/2024,137.949
01/01/2025,138.343
01/02/2025,138.726
01/03/2025,139.161
01/04/2025,139.62
01/05/2025,140.012
01/06/2025,140.405
01/07/2025,140.78
01/08/2025,140.867
01/09/2025,141.197
